Date,Open,High,Low,Close,Volume
2021-11-15,47250,47550,47000,47500,1922400
2021-11-16,47500,47550,46950,47400,1643900
2021-11-17,47350,48500,47100,48150,2815800
2021-11-18,48500,49250,47250,47250,3871100
2021-11-19,47300,48000,47000,47400,2032500
2021-11-22,47250,47500,46500,47400,2152100
2021-11-23,47000,47500,46750,47400,1382700
2021-11-24,47400,47600,46750,47050,2045100
2021-11-25,47400,47400,46900,47000,1401800
2021-11-26,47950,50000,47600,49250,8681700
2021-11-29,49500,52650,49250,52650,8742300
2021-11-30,52750,53450,51750,52500,4674300
2021-12-01,52500,53650,52000,53000,4082000
2021-12-02,53000,54250,52550,53600,4428600
2021-12-03,54550,54800,52750,52750,5152400
2021-12-06,53950,54500,51800,52800,5825100
2021-12-07,53700,53750,52800,53350,3026300
2021-12-08,53250,53500,51750,52950,3539500
2021-12-09,52500,53750,52000,53500,3173400
2021-12-10,53500,53600,51550,51550,3080600
2021-12-13,51350,52250,50500,51600,4075700
2021-12-14,51500,51550,50800,51250,2629100
2021-12-15,51350,51350,49950,50000,2897300
2021-12-16,50000,50750,49150,50000,3095200
2021-12-17,50000,51350,49400,51000,6655000
2021-12-20,51000,51000,49500,49500,1372800
2021-12-21,49500,50400,49050,49050,1467300
2021-12-22,49100,50050,49100,49800,2410600
2021-12-23,49800,50000,48000,48000,2771100
2021-12-24,48250,48450,47550,48250,1415500
2021-12-27,48500,49500,48250,49500,1907500
2021-12-28,49550,49650,48250,49200,1737300
2021-12-29,49000,49000,47600,47750,2291900
2021-12-30,47900,48200,47500,47500,1662400
2021-12-31,47600,48150,47100,47550,1267000
2022-01-04,48000,50750,47850,50500,3071100
2022-01-05,50400,51100,49750,50000,3396500
2022-01-06,50500,53200,50250,52250,5061400
2022-01-07,53200,53200,51100,51100,3108800
2022-01-10,51250,52750,51100,51150,2594000
2022-01-11,51000,51000,49900,50500,2240600
2022-01-12,50750,50750,49000,50400,2338500
2022-01-13,50500,50500,49250,49400,1955700
2022-01-14,49100,49800,49100,49450,1017400
2022-01-17,49500,49600,47250,48500,2628900
2022-01-18,48500,48500,47050,47950,2032000
2022-01-19,47500,47950,46750,47900,2479700
2022-01-20,47300,48150,47300,47500,1689300
2022-01-21,47950,48000,46650,47750,3192800
2022-01-24,47450,48000,46250,47500,3935300
2022-01-25,47500,48850,46700,48000,3198400
2022-01-26,48250,48250,47250,48200,1932000
2022-01-27,48250,48250,47100,48250,2559000
2022-01-28,47550,48500,47250,48500,2999600
2022-02-07,48200,48750,45600,45600,7413400
2022-02-08,45650,46150,43350,43650,8010800
2022-02-09,43800,44350,42450,42850,8812500
2022-02-10,42850,43000,40850,42000,11088500
2022-02-11,41500,41800,40750,40850,7846400
2022-02-14,40850,42000,40350,40900,4973500
2022-02-15,41000,41900,40900,41850,3001500
2022-02-16,41950,41950,41350,41450,1986000
2022-02-17,41400,41750,41000,41550,2865600
2022-02-18,41250,41400,41000,41100,2914400
2022-02-21,41050,41900,41000,41800,2513700
2022-02-22,41500,41650,40900,41000,2975200
2022-02-23,41050,41250,41000,41250,1439000
2022-02-24,41150,41200,39650,40050,6367500
2022-02-25,40450,40450,39550,39550,3385500
2022-02-28,39750,39750,38500,38500,4678600
2022-03-01,38550,39950,38500,39600,3467600
2022-03-02,39600,39600,38600,39450,2401000
2022-03-03,39450,40200,39150,39500,2610400
2022-03-04,39500,39650,38900,39500,3817400
2022-03-07,39200,39500,38650,39250,2427800
2022-03-08,39000,39450,38550,38950,4290200
2022-03-09,39050,39350,38650,39000,3049900
2022-03-10,39250,40300,39000,39550,4366600
2022-03-11,39400,39500,38900,39500,2222400
2022-03-14,39400,39400,38700,39150,2622700
2022-03-15,39000,39300,38500,39150,2733900
2022-03-16,39150,39200,38600,39050,2950000
2022-03-17,39150,39250,38650,39200,2565900
2022-03-18,39150,39750,38700,39400,5520700
2022-03-21,39400,40500,39150,40500,3705300
2022-03-22,40500,41200,40500,41100,3631800
2022-03-23,41050,41200,40700,40700,1529200
2022-03-24,40700,40700,40200,40500,1995200
2022-03-25,40300,40500,39850,40500,2193500
2022-03-28,39950,40600,39850,40250,2339900
2022-03-29,40000,40900,39900,40400,2722800
2022-03-30,41250,41350,40200,40550,3088400
2022-03-31,40550,41150,40500,40600,1372000
2022-04-01,40700,41250,40450,41050,2609900
2022-04-04,41250,41400,40750,41350,2730500
2022-04-05,41250,41550,40850,41150,3591100
2022-04-06,40250,41150,39750,40250,5679100
2022-04-07,40100,40150,38800,39750,3704800
2022-04-08,40000,41200,40000,40850,5192000
2022-04-12,40700,40700,40150,40650,2356500
2022-04-13,40500,41150,40350,41100,3146300
2022-04-14,40800,41100,40550,40850,1763700
2022-04-15,40750,40900,40300,40350,1678400
2022-04-18,40000,40050,39050,39750,2984700
2022-04-19,39300,39900,38900,39400,1816000
2022-04-20,39000,39900,39000,39650,1713900
2022-04-21,39500,39750,38750,38750,2684300
2022-04-22,38850,39500,38800,38850,1844100
2022-04-25,38900,39600,36350,38100,2738000
2022-04-26,36750,39250,36750,39000,3661700
2022-04-27,38000,39000,37500,39000,2793500
2022-04-28,39000,39100,38150,38950,1386100
2022-04-29,38750,40000,38300,40000,2148700
2022-05-04,39800,40000,38850,39850,1436000
2022-05-05,39800,40000,39250,40000,1858600
2022-05-06,39250,40000,39000,39900,1690000
2022-05-09,39350,39600,38950,39550,2428900
2022-05-10,39450,40200,39050,40200,2617900
2022-05-11,40100,40250,39350,40250,1983600
2022-05-12,40000,40000,38550,39500,2474100
2022-05-13,39500,39500,38600,39000,3134600
2022-05-16,39500,39500,38100,38500,1994100
2022-05-17,38000,39000,37600,39000,1857400
2022-05-18,39000,39000,38000,39000,2964900
2022-05-19,38200,39500,38100,38950,2650300
2022-05-20,38950,38950,38250,38900,2331100
2022-05-23,38800,38850,38100,38700,2644700
2022-05-24,38500,38800,38200,38800,1568300
2022-05-25,38800,39050,38350,38850,1360400
2022-05-26,38850,38850,38400,38850,2076700
